,CGNDB ID,place_name,ISO Language Code,language,Syllabic Form,term,category,Concise Code,Toponymic Feature ID,lat,long,Location,province,relevance,Decision Date,Source,Unnamed: 0.1,Unnamed: 0,description,etymology,merge_type,source
17,GADMZ,Brandon,und,Undetermined,,City,Populated Place,CITY,93426abbbede11d892e2080020a0f4c9,49.846944,-99.952222,,Manitoba,15000000,12/3/1946,MB-Natural Resources and Northern Development,143.0,143.0,"Brandon: city in Manitoba. The name Brandon House was given to a Hudson’s
    Bay Company trading post on the Assiniboine River,
    seventeen miles from the present city, in 1794. The
    Douglas family, of which the Duke of Brandon, Suffolk[37] county, England, was a member, held one-third of the
    stock of the Hudson’s Bay Company.",English,exact,Armstrong (1930)
18,IAKID,Calgary,und,Undetermined,,City,Populated Place,CITY,6a8ad2dad05511d892e2080020a0f4c9,51.0458333,-114.0574999,24-1-W5,Alberta,15000000,1/1/1995,AB-Ministry of Culture and Status of Women,177.0,177.0,"Calgary: city in Alberta. It took its name from a town in the island of Mull,
    Scotland. The name was suggested by Colonel James
    Farquharson MacLeod, R.N.W.M. Police, in 1876, after
    his old home town. The word Calgary is Gaelic. Its
    origin is uncertain. The word is generally stated to mean
    “clear running water”.",Scottish,exact,Armstrong (1930)
21,EFXAC,Chibougamau,crl,"East Cree, Northern",,Town,Populated Place,CITY,bec5a027bbef11d892e2080020a0f4c9,49.913227,-74.368532,Chibougamau; Nord-du-Québec,Quebec,15000000,12/5/1968,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
25,GAGDE,Dauphin,und,Undetermined,,City,Populated Place,CITY,e9801765bedf11d892e2080020a0f4c9,51.149444,-100.04944,10-25-19W,Manitoba,15000000,11/30/1998,MB-Natural Resources and Northern Development,283.0,283.0,"Dauphin: lake, river and town in Manitoba. One of the younger Verendryes founded Fort Dauphin
    on the shores of the lake in 1741. He named it after the
    then Dauphin of France, the title of the King’s eldest son.
    The name was attached later to the lake and river.",French,exact,Armstrong (1930)
26,KABPC,Dawson,und,Undetermined,,Town,Populated Place,TOWN,26f445dbd05511d892e2080020a0f4c9,64.06,-139.431944,,Yukon,15000000,3/30/1981,Yukon-Department of Tourism and Culture,286.0,286.0,"Dawson: the capital city of the Yukon Territory. It was named in honour of George M. Dawson, C.M.G.,
    sometime director of the Geological Survey of Canada,
    and explorer of the Stikine, Dease, Francis, Pelly and
    Lewis Rivers of the Yukon. Dawson is also the name of a township in Manitoulin
    district, Ontario. It was named in honour of Simon James Dawson, C.E.,
    who was born in Scotland and came to Canada when a
    youth. He was employed by the Government to direct the
    construction of public highways, including the Dawson
    route to the Red River, 1868-’70. In 1875 Mr. Dawson
    was elected to the Ontario Legislature for Algoma. From
    1878 to 1890 he was a member of the House of Commons
    for the same constituency. Mr. Dawson did much to
    encourage colonization in unoccupied districts by his
    policy of good roads.",English,exact,Armstrong (1930)
28,HAUQM,Estevan,und,Undetermined,,City,Populated Place,CITY,0c323673849c20c3aa0c69f5a9d20ed8,49.1392833,-102.9859847,,Saskatchewan,15000000,2/6/1952,"Saskatchewan-Ministry of Parks, Culture and Sport",370.0,370.0,"Estevan: enterprising town on the C.P.R., Saskatchewan. The place was named in honour of George Stephen
    and William C. Van Horne, the former a director, the
    latter general manager of the company that built the
    Canadian Pacific Railway. The word was formed by the
    selection of letters from the name of each, thus Georg[e
    Ste]phen, W. C. [Van] Horne. Both were deeply appreciated by the Crown for the
    splendid services they rendered Canada and the Empire.
    Mr. Stephen became Lord Mount Stephen and Mr. Van
    Horne became Sir William Van Horne.",English,exact,Armstrong (1930)
30,GAILW,Flin Flon,und,Undetermined,,City,Populated Place,CITY,d3f41f25ba2f11d892e2080020a0f4c9,54.768056,-101.8641699,,Manitoba,15000000,1/6/1948,MB-Natural Resources and Northern Development,389.0,389.0,"Flin Flon: lake and mineral field in Northern Manitoba.
    They lie 400 miles north-west of Winnipeg and
    about 90 miles north of The Pas. The Hudson’s Bay
    Railway branch line will serve this district. The mine is estimated to contain roughly 18,000,000
    tons of copper-zinc-gold-silver ore. Some $50,000,000
    have already been invested in its development. [106] The origin of the romantic name is uncertain. All
    stories agree that it sprang from a book one of the prospectors
    had read. Flonflon is found in dictionaries of the French language.
    It occurs in a common street-song: “Flonflon!
    tol-de-rol!”",English,exact,Armstrong (1930)
38,EGLSD,Gaspe,mic,"Mikmaw, Migmaw",,Town,Populated Place,CITY,76bca836be1711d892e2080020a0f4c9,48.824618,-64.476254,Gaspé; La Côte-de-Gaspé,Quebec,15000000,12/5/1968,Quebec-Commission de Toponymie,413.0,413.0,"Gaspé: county in Quebec. The origin of the word is
    disputed. Most writers state it is Micmac Indian, meaning
    “the end or extremity”, referring to the northern
    limits of Micmac country. Others derive it from Gaspar
    Cortereal, the Portuguese navigator, who visited this
    coast about the year 1500. Other writers connect Gaspé
    with Caspe, a community in Aragon, Spain, from which
    Basque fishermen came to these shores in the fifteenth
    century. Gaspé is also the name of a peninsula, bay, and village
    in Gaspé county.",Indigenous,exact,Canadian Geographic Names Database
40,FBLJL,Hamilton,und,Undetermined,,Community,Populated Place,UNP,582aeb6dc6ce11d892e2080020a0f4c9,43.24504,-79.8418,Wentworth,Ontario,15000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,460.0,460.0,"Hamilton: city in Wentworth county, Ontario. It took its name from George Hamilton, son of Hon.
    Robert Hamilton of Niagara who bought a farm here
    in 1812 and divided a part of it into building lots the
    next year. Hamilton is also the name of a township in Northumberland
    county, Ontario, erected in 1792. [128] It was named in honour of Henry Hamilton, Lieutenant-Governor
    of Lower Canada for a few months in 1785.
    Formerly he had been Governor at Detroit, 1777-’78. He
    is said to have possessed courage and energy, but lacked
    the tact and judgment essential for the satisfactory
    performance of the duties of his exalted position.",English,exact,Armstrong (1930)
45,OAHOY,Igloolik,ike,"Inuktitut, Eastern Canadian",,Hamlet,Populated Place,HAM,0c730ad3849c20c3ee66ef9911ee83af,69.383333,-81.8,,Nunavut,15000000,4/1/1976,NU-Department of Culture and Heritage,,,,Indigenous,exact,Canadian Geographic Names Database
46,LALNA,Inuvik,ikt,"Inuinnaqtun, Western Canadian Inuktitut",,Town,Populated Place,TOWN,938287d9c6cd11d892e2080020a0f4c9,68.3609,-133.7297,,Northwest Territories,15000000,1/1/1970,NT - Education Culture Employment,,,,Indigenous,exact,Canadian Geographic Names Database
47,JAFNW,Kamloops,shs,Secwepemctsín,,City,Populated Place,CITY,0d082b8c849c20c36ee58e33a2789a23,50.675833,-120.339444,Kamloops Division Yale Land District,British Columbia,15000000,6/7/1927,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
48,JAFUV,Kelowna,oka,"n?s?l?xcin?, nsyilxcn",,City,Populated Place,CITY,4c409d19d05511d892e2080020a0f4c9,49.888056,-119.495556,Osoyoos Division Yale Land District,British Columbia,15000000,7/13/1994,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
49,FDGDQ,Kenora,und,Undetermined,,Community,Populated Place,UNP,42965288c6ce11d892e2080020a0f4c9,49.7638889,-94.5066667,Kenora,Ontario,15000000,1/1/2000,Ontario-Ministry of Natural Resources and Forestry,538.0,538.0,"Kenora: flourishing town in Kenora district, Ontario. The town was originally called Rat Portage, and a
    large district now included in Manitoba and Ontario was
    called Keewatin, “home of the north-west wind”. Near
    Rat Portage was the village of Norman. About 1899 by
    Act of Parliament they united under the name of Kenora.
    The new name was made up of the first two letters of
    Keewatin, Norman and Rat Portage. There is also the
    town of Keewatin three miles from Kenora.",Indigenous,exact,Armstrong (1930)
50,FBUUF,Kingston,und,Undetermined,,Community,Populated Place,UNP,4faf2311c6ce11d892e2080020a0f4c9,44.2347222,-76.5108334,Frontenac,Ontario,15000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,549.0,549.0,"Kingston: city, Frontenac county, Ontario, occupies
    the site of the Indian village of Cataraqui and of the fort
    which Count de Frontenac, Governor of Canada, built in
    1672. The English village of Kingston was founded in
    1784 by U.E. Loyalists. Kingston township was outlined in 1783 and sub-divided
    into lots in 1784 by John Collins, land surveyor, at
    the direction of General Haldimand, Governor of Canada.[154] Both city and township were named Kingstown (afterwards
    contracted to Kingston) in honour of King George
    III.",English,exact,Armstrong (1930)
51,OBCVP,Kinngait,ike,"Inuktitut, Eastern Canadian",????,Hamlet,Populated Place,HAM,3d613d4ed05511d892e2080020a0f4c9,64.2333,-76.5417,,Nunavut,15000000,2/28/2020,NU-Department of Culture and Heritage,,,,Indigenous,exact,Canadian Geographic Names Database
52,OAUDO,Kugluktuk,ikt,"Inuinnaqtun, Western Canadian Inuktitut",,Hamlet,Populated Place,HAM,183be172d05311d892e2080020a0f4c9,67.826667,-115.09333,,Nunavut,15000000,1/1/1996,NU-Department of Culture and Heritage,,,,Indigenous,exact,Canadian Geographic Names Database
53,EJJIZ,Kuujjuaq,ike,"Inuktitut, Eastern Canadian",,Northern Village Municipality,Populated Place,VILG,6e756540bf9111d892e2080020a0f4c9,58.1,-68.4,Kuujjuaq; Nord-du-Québec,Quebec,15000000,2/26/1979,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
56,IADGP,Lethbridge,und,Undetermined,,City,Populated Place,CITY,9d7ced64d05411d892e2080020a0f4c9,49.6936111,-112.8419444,"8,9-21-W4",Alberta,15000000,1/1/1995,AB-Ministry of Culture and Status of Women,575.0,575.0,"Lethbridge: city in southern Alberta, founded in 1885. It was named after William Lethbridge, 1824-1901,
    formerly of London, England, and first president of the
    North Western Coal and Navigation Co., Ltd.",English,exact,Armstrong (1930)
58,IADVK,Lloydminster,und,Undetermined,,City,Populated Place,CITY,5bc0b0f5ba3411d892e2080020a0f4c9,53.2777778,-110.0308333,1-50-1-W4,Alberta,15000000,1/1/1995,AB-Ministry of Culture and Status of Women,587.0,587.0,"Lloydminster: prosperous village on the Alberta-Saskatchewan
    boundary. This district was at first the
    site of an all-British colony founded by Rev. I. M. Barr
    but soon taken over by its chaplain, Rev. George Exton
    Lloyd, after whom the town is named. The colony is no
    longer composed of people of all-British birth. Americans,
    Canadians and Scandinavians have flocked into this
    fertile area. At the battle of Cut Knife Hill in 1885, two
    theological students from Toronto, Lloyd and Atcheson,
    distinguished themselves for resource and bravery under
    the deadly fire of Poundmaker’s braves. It is that same
    Lloyd whose name is immortalized in the town of Lloydminster
    and who is now Bishop of Saskatchewan.",English,exact,Armstrong (1930)
59,FCAEN,London,und,Undetermined,,City,Populated Place,CITY,2ebf1526c6be11d892e2080020a0f4c9,42.9675,-81.2325,Middlesex,Ontario,15000000,1/1/1993,Ontario-Ministry of Natural Resources and Forestry,591.0,591.0,"London: city, Ontario, county-town of Middlesex
    county; also the name of a township in this county,
    erected in 1798. They took their name from the capital city of the
    British Empire. The early Britons called this place, then
    a hamlet constructed of wicker and mud, Llyndin, meaning
    the “town on the lake”. The Romans renamed it
    Augustus, after their Emperor Augustus, that is “the
    venerated one”, but the Saxon conquerors retained the
    British name Lindum, now spelled London. The site of the Canadian city of London was examined
    by Lieutenant-Governor Simcoe, accompanied by Captain
    Fitzgerald, Lieutenants Smith, Talbot, Grey and Givins,
    and his secretary, Major Littlehales, in 1793. It was
    judged to be “a situation eminently calculated for the
    metropolis of all Canada”. Simcoe selected York as the
    site of an excellent port of entry and a safer seat for his
    government than Newark. His intuition was that the
    future capital should be inland at the forks of the Thames
    and should be named Georgina, in compliment to
    George III. [168]",English,exact,Armstrong (1930)
61,DADHJ,Monckton,und,Undetermined,,City,Populated Place,CITY,0cf6ee7a849c20c3bd682e655bb2ba0c,46.099479,-64.799802,Westmorland,New Brunswick,15000000,1890-04-23,"New Brunswick-Tourism, Culture and Heritage",,,,English,fuzzy,Armstrong (1930)
62,EHHUN,Montreal,und,Undetermined,,Town,Populated Place,CITY,08b1ec0ebe3d11d892e2080020a0f4c9,45.508822,-73.554077,Montréal; Montréal,Quebec,15000000,1/24/2002,Quebec-Commission de Toponymie,705.0,705.0,"Montreal: the largest and in many respects the most
    important city in Canada, situated on the island of
    Montreal in the province of Quebec. The site of the city
    was occupied originally by the Algonquin village of
    Hochelaga. In 1642, the French founded the present city
    under the name of Ville-Marie, de Maisonneuve being in
    command of the party of colonists. A prominent elevation near the city had been named
    Mont Réal (“Mount Royal”) by the French. Since the
    English captured the town in 1760 it has been known as
    Montreal, (Mont Réal). Montreal River, named after the metropolis, in
    Algoma, Ontario, emptying into Lake Superior, possesses
    much potential electric power.",French,exact,Armstrong (1930)
75,EJNFL,Rimouski,mis,Uncoded languages,,Town,Populated Place,CITY,58922511bf9311d892e2080020a0f4c9,48.449138,-68.525096,Rimouski; Rimouski-Neigette,Quebec,15000000,1/24/2002,Quebec-Commission de Toponymie,869.0,869.0,"Rimouski: county in Quebec, and also its chief town. All authorities agree the word is Malecite or Micmac
    and means “the home or retreat of dogs”, in allusion
    perhaps to its fine hunting grounds.",Indigenous,exact,Canadian Geographic Names Database
76,ERBYN,Saguenay,moe,Innu,,Town,Populated Place,CITY,0d0a0d04849c20c3be7d900ce5db3cb6,48.428221,-71.062202,Saguenay; SaguenayLac-Saint-Jean,Quebec,15000000,6/11/2002,Quebec-Commission de Toponymie,888.0,888.0,"Saguenay: county in Quebec and large affluent of the
    St. Lawrence. The county took its name from the river. The origin
    of the word is disputed. Lafleche derives it from the Cree
    Indian, sake, “to emerge”, and nipi, “water”, that is,
    “water which emerges” (from between high rocks).
    Arnaud derives it from the French and states it means
    “ice pierced or perforated”, describing the effect of the
    Saguenay at its mouth on the ice-bound St. Lawrence. [249]",Indigenous,exact,Canadian Geographic Names Database
78,HAHJJ,Saskatoon,cre,Cree,,City,Populated Place,CITY,0cfe9cb7849c20c37db06ca998074bf8,52.13965,-106.6861833,,Saskatchewan,15000000,10/7/1948,"Saskatchewan-Ministry of Parks, Culture and Sport",914.0,914.0,"Saskatoon: city in Saskatchewan. The site was selected and named in 1882 by John N.
    Lake of Toronto, acting for the Temperance Colonization
    Society of Toronto who had bought from the Government
    100,000 acres here for $200,000. Saskatoon was the name
    of a red berry found growing wild in this district. It was
    used in making buffalo pemmican. [258]",Indigenous,exact,Canadian Geographic Names Database
79,FDZCP,Sault Ste. Marie,und,Undetermined,,City,Populated Place,CITY,99735d40c6be11d892e2080020a0f4c9,46.558889,-84.346944,Algoma,Ontario,15000000,1/1/1965,Ontario-Ministry of Natural Resources and Forestry,916.0,916.0,"Sault Ste. Marie: river connecting Lake Superior
    with Lake Huron, and also a city situated on the river,
    district of Algoma, Ontario. The city, incorporated in 1918, takes its name from the
    cataract on the river, the Sault Ste. Marie or Falls of St.
    Mary, so called by Jesuit missionaries. Ste. Marie is
    French for Mary, the Mother of Christ. Sault is old
    French for saut, modern French, meaning “a leap”. Sault is pronounced sō, commonly sö.",French,exact,Armstrong (1930)
81,FCTOV,Sudbury,und,Undetermined,,Community,Populated Place,UNP,5e61a68fc6ce11d892e2080020a0f4c9,46.5011111,-80.9775,Sudbury,Ontario,15000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,984.0,984.0,"Sudbury: city and district in Northern Ontario.
    Near the city is the largest nickel mine in the world.
    Canada supplies ninety per cent. of the total world production
    of nickel, New Caledonia, an island east of
    Australia and belonging to France; Germany, France,
    Norway and Hungary the remaining ten per cent. The name was given to the town by James Worthington,
    Superintendent of Construction on the C.P.R. main
    line in the winter of 1882-’83. Mr. Worthington named the
    place after Sudbury, Suffolk, England, the birthplace of
    his wife. The word is derived from old English, Suth beri meaning “south burg or fort”. The word nickel has an interesting origin. Among the
    first discoverers of this metal were the German miners
    of old. Its hardness and the difficulty they experienced[276] in smelting it led them to associate the metal with “Old
    Nick”, the vulgar name for the devil. So nickel is derived
    from low German nikker meaning “devil”, and el, diminutive—signifying
    “a little devil”.",English,exact,Armstrong (1930)
85,FCWMG,Timmins,und,Undetermined,,City,Populated Place,CITY,9960e012d05511d892e2080020a0f4c9,48.47153,-81.33132,Cochrane,Ontario,15000000,5/19/1989,Ontario-Ministry of Natural Resources and Forestry,1015.0,1015.0,"Timmins: town in the Temiskaming district, Northern
    Ontario. It is named after Noah A. Timmins, President of the
    Hollinger Consolidated Gold Mine, Ltd., and one of the
    chief stockholders in the Company. The Hollinger is the[285] richest producing gold mine in the Western Hemisphere.
    This mine claim was staked in 1909 by one Hollinger and
    sold to the Timmins associated interests in 1911 for
    $330,000. Up to the end of 1925 it had paid over
    $30,000,000 in dividends.",English,exact,Armstrong (1930)
87,JBRIK,Vancouver,und,Undetermined,,City,Populated Place,CITY,0ca0fef1849c20c3313df3807fa729b2,49.261111,-123.113889,New Westminster Land District,British Columbia,15000000,12/7/1937,"British Columbia-Tourism, Arts, Culture and Sport",1038.0,1038.0,"Vancouver: seaport city of British Columbia; and a
    large island off its coast, forming a part of the province. Both are named in honour of Captain George
    Vancouver, 1757-’98, of the British naval service, who
    discovered the island in 1792. It was made a British
    colony in 1859 and was united to British Columbia in
    1866. Captain Vancouver is buried in Petersham churchyard,
    England. Before the C.P.R. reached the city in 1886 it was
    but a small village called Granville. In that year the
    name was changed and the place was incorporated under
    the name of Vancouver.",English,exact,Armstrong (1930)
90,FDEGT,Windsor,und,Undetermined,,City,Populated Place,CITY,9063e055c6be11d892e2080020a0f4c9,42.30227,-82.99348,Essex,Ontario,15000000,5/1/1990,Ontario-Ministry of Natural Resources and Forestry,1091.0,1091.0,"Windsor: city in Essex county, Ontario, founded in
    1834. East Windsor, formerly the town of Ford City,
    Essex county, assumed full urban status in 1929. It takes its name from Windsor, England. The word
    is derived from old English Wyndelshore, “the shore of
    Wendel”, the bank or locality of the Vandals, a fierce
    Teutonic tribe. [305] Windsor is also the name of a town in Hants county,
    N.S., and in Richmond county, Quebec.",English,exact,Armstrong (1930)
91,CBPIB,Yarmouth,und,Undetermined,,Town,Populated Place,TOWN,2fdfb637aff811d892e2080020a0f4c9,43.838654,-66.115223,Yarmouth,Nova Scotia,15000000,3/5/1929,Nova Scotia-Department of Internal Services,1108.0,1108.0,"Yarmouth: county and town in Nova Scotia, and
    township in Elgin county, Ontario, surveyed and named
    in 1792. They take their name from the seaport of Yarmouth,
    Norfolkshire, England. The word Yarmouth is derived from the mouth of the
    river Yare. Yare or Yar is Celtic, meaning “rough”. In
    Doomsday Book it is written er, the Gaelic form is Garbh.",English,exact,Armstrong (1930)
94,LCABE,?utselk'e,chp,"Dëne S???né, Chipewyan",,Settlement,Populated Place,UNP,dc0f377bd05211d892e2080020a0f4c9,62.4041,-110.7382,,Northwest Territories,7500000,7/1/1992,NT - Education Culture Employment,,,,Indigenous,exact,Canadian Geographic Names Database
97,LAATD,Aklavik,ikt,"Inuinnaqtun, Western Canadian Inuktitut",,Hamlet,Populated Place,HAM,38fafd9cd05511d892e2080020a0f4c9,68.2193083,-135.0081106,,Northwest Territories,7500000,7/14/1981,NT - Education Culture Employment,,,,Indigenous,exact,Canadian Geographic Names Database
98,EJNEO,Akulivik,ike,"Inuktitut, Eastern Canadian",,Northern Village Municipality,Populated Place,VILG,57d7d5b9bf9311d892e2080020a0f4c9,60.8,-78.2,Akulivik; Nord-du-Québec,Quebec,7500000,5/23/1979,Quebec-Commission de Toponymie,,,,Indigenous,exact,Canadian Geographic Names Database
